SK_ID_CURR,TARGET,CODE_GENDER1,FLAG_OW0_CAR1,FLAG_OW0_REALT1_1,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_ID_PUBLISH,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGIN
101965,0,0,0,0,0,25650,158148,5809.5,103500,3,1,2,2,0,,0.285897872,,0.9762
124157,1,0,1,1,0,25650,2173500,48118.5,2173500,4962,2,2,2,0,0.498674686,0.175964513,,
103644,0,0,1,0,1,27000,101880,10075.5,90000,4936,3,2,2,0,0.330123402,0.157319708,0.644679455,
105387,0,0,0,1,1,27000,112500,5409,112500,4875,3,2,2,0,0.431761541,0.665591219,0.443615308,
105537,0,1,0,1,0,27000,284400,9211.5,225000,3034,2,2,2,0,,0.658688772,0.602386344,
107468,0,0,0,0,0,27000,135000,14175,135000,3288,2,2,2,0,0.741206547,0.016201284,0.644679455,
112330,0,0,0,0,0,27000,225000,9531,225000,2243,2,2,2,1,,0.753233389,0.576208836,
121642,1,0,0,0,0,27000,225000,19309.5,225000,1922,2,2,2,0,0.73581249,0.718654812,,
128176,0,0,0,1,0,27000,71955,7245,67500,2339,2,2,2,0,,0.644987973,0.593717587,
102779,0,0,0,1,0,29250,152820,10080,135000,4289,1,2,2,0,0.862109139,0.590170761,0.803885061,
105945,0,1,0,0,0,29250,123637.5,8923.5,112500,4887,1,2,2,0,,0.374463514,,
108342,0,0,0,0,0,29250,269550,18891,225000,3743,2,3,3,0,,0.58311295,0.415347145,0.9434
110228,0,0,0,1,0,29250,76410,7686,67500,5079,2,3,3,0,0.481088661,0.490277502,,
133058,0,0,0,1,0,29250,135000,6750,135000,3204,2,2,2,0,,0.658216658,0.3392877,
100572,0,0,0,1,0,31500,314055,13437,238500,2663,2,2,2,0,,0.468946203,0.7136314,
105880,0,1,0,0,0,31500,112500,4369.5,112500,4206,1,2,2,0,,0.477138876,0.746300213,
106076,0,0,0,1,0,31500,101880,10053,90000,4026,1,2,2,0,,0.545903522,,
106313,0,0,0,1,0,31500,180000,17662.5,180000,5797,2,2,2,0,,0.584515655,0.843543539,
107472,0,0,0,0,0,31500,454500,13288.5,454500,3560,2,2,2,0,,0.52589724,0.728141299,0.9926
107654,0,0,1,1,0,31500,135000,6750,135000,4571,2,2,2,0,0.684831922,0.208079778,0.736622698,
116581,0,0,0,1,0,31500,314055,13437,238500,4438,2,2,2,0,,0.543034418,0.808393591,
117348,0,0,0,0,0,31500,314100,15241.5,225000,2885,2,2,2,0,0.500981794,0.376432532,,
117990,0,0,0,1,0,31500,166500,8631,166500,404,2,2,2,0,0.586200226,0.512884503,,
119100,0,0,0,0,0,31500,268659,26302.5,243000,4539,2,3,3,0,,,0.684827659,0.9757
120547,0,0,0,1,0,31500,56880,2893.5,45000,4656,2,2,2,0,,0.229853507,0.689479143,
122899,0,0,0,1,0,31500,454500,19386,454500,3000,2,3,3,0,,0.01225178,,
123377,0,0,0,1,2,31500,152820,17239.5,135000,4620,4,2,2,0,0.346371313,0.224657925,0.275000352,
126371,0,0,0,1,0,31500,74182.5,5674.5,67500,1820,2,2,2,0,,0.552297572,,
129558,0,0,1,1,0,31500,339948,25546.5,315000,4995,2,1,1,0,,0.656403985,0.754406173,
133102,0,0,0,1,0,31500,98910,7011,90000,1836,1,2,2,0,,0.521097034,0.614414378,
133756,0,0,0,0,1,31500,142200,9387,112500,1874,3,3,3,0,,0.506397802,,
134633,1,0,0,1,0,31500,50940,5089.5,45000,4283,1,2,2,0,,0.191525863,0.277885689,
134071,0,0,0,0,0,31815,381528,14512.5,315000,4142,2,2,2,0,0.786759348,0.285897872,0.492060094,0.9861
109400,0,1,0,1,0,31860,808650,26217,675000,3933,2,3,3,0,0.441805433,0.239845032,,
111413,0,1,0,0,0,32139,536917.5,17874,463500,70,2,3,3,0,,0.057433891,0.513693766,
115608,0,0,0,1,0,32400,954000,24160.5,954000,4197,1,2,2,0,,0.67366982,,0.9856
115903,0,0,0,0,0,32400,229500,11038.5,229500,361,1,2,2,0,0.379198727,0.26483037,0.141991543,
133718,0,0,0,1,0,32400,45000,4608,45000,4364,2,2,2,0,0.785135433,0.307748278,0.802745476,
133893,1,0,0,1,2,32400,360000,16780.5,360000,4069,4,2,2,0,,0.474793547,0.54065445,
106289,0,0,0,1,0,33300,359685,15237,310500,126,2,2,2,0,,0.266519775,,0.9772
109278,0,0,0,1,0,33300,755190,32125.5,675000,4768,2,2,2,0,,0.151757369,0.726711209,
110169,0,0,1,0,1,33750,123637.5,8734.5,112500,563,3,2,2,0,0.692143887,0.51128364,0.683268831,
117862,0,0,0,1,0,35100,273024,16830,216000,4781,2,2,2,0,,0.614308407,0.554946769,
102762,0,1,0,1,0,35550,672174,21811.5,481500,4189,2,3,3,0,,0.452306524,,
100326,1,1,1,1,0,36000,284400,10849.5,225000,4542,2,3,3,0,,0.063454797,,
101442,0,0,0,0,0,36000,900000,26311.5,900000,3908,2,2,2,0,,0.641324311,0.733814537,
103566,0,0,0,0,0,36000,45000,4581,45000,1302,1,2,2,0,,0.661010315,,
